speech_id,party,sentiment_score,negativity_score,speech_length,avg_sentence_length,kw_democracy_count,kw_democracy_freq,kw_economy_count,kw_economy_freq,kw_welfare_health_count,kw_welfare_health_freq,kw_education_count,kw_education_freq,kw_environment_count,kw_environment_freq,kw_security_defense_count,kw_security_defense_freq,kw_foreign_policy_count,kw_foreign_policy_freq,kw_immigration_count,kw_immigration_freq
87,Democrat,0.9996,0.088,1649,1649.0,12,0.0072771376591873865,7,0.004244996967859308,5,0.0030321406913280777,0,0.0,2,0.001212856276531231,13,0.007883565797453002,7,0.004244996967859308,2,0.001212856276531231
88,Republican,0.9998,0.105,5725,5725.0,12,0.002096069868995633,29,0.005065502183406114,8,0.0013973799126637554,8,0.0013973799126637554,9,0.0015720524017467249,25,0.004366812227074236,42,0.007336244541484716,6,0.0010480349344978166
89,Democrat,0.9998,0.038,3551,3551.0,1,0.000281610813855252,10,0.0028161081385525205,2,0.000563221627710504,2,0.000563221627710504,0,0.0,0,0.0,2,0.000563221627710504,0,0.0
90,Republican,1.0,0.072,6060,6060.0,21,0.0034653465346534654,17,0.0028052805280528053,4,0.0006600660066006601,3,0.0004950495049504951,6,0.0009900990099009901,48,0.007920792079207921,24,0.0039603960396039604,1,0.00016501650165016502
91,Democrat,1.0,0.094,16299,16299.0,27,0.0016565433462175593,36,0.0022087244616234127,13,0.0007975949444751212,2,0.00012270691453463402,9,0.0005521811154058532,234,0.01435670900055218,89,0.005460457696791214,2,0.00012270691453463402
92,Democrat,-0.9968,0.107,3283,3283.0,7,0.0021321961620469083,14,0.0042643923240938165,5,0.0015229972586049345,5,0.0015229972586049345,1,0.0003045994517209869,19,0.005787389582698751,1,0.0003045994517209869,0,0.0
93,Democrat,1.0,0.08,6601,6601.0,4,0.0006059687926071808,104,0.0157551886077867,76,0.011513407059536435,34,0.005150734737161036,4,0.0006059687926071808,12,0.0018179063778215423,9,0.0013634297833661567,1,0.0001514921981517952
94,Democrat,0.9998,0.077,2950,2950.0,1,0.00033898305084745765,19,0.006440677966101695,4,0.0013559322033898306,0,0.0,1,0.00033898305084745765,6,0.002033898305084746,15,0.005084745762711864,0,0.0
95,Democrat,0.9998,0.077,2957,2957.0,2,0.0006763611768684477,35,0.011836320595197836,3,0.0010145417653026716,0,0.0,0,0.0,1,0.00033818058843422386,1,0.00033818058843422386,0,0.0
96,Republican,0.9984,0.088,1186,1186.0,4,0.003372681281618887,6,0.00505902192242833,6,0.00505902192242833,2,0.0016863406408094434,0,0.0,6,0.00505902192242833,23,0.0193929173693086,0,0.0
97,Republican,0.9996,0.105,3684,3684.0,1,0.0002714440825190011,64,0.01737242128121607,2,0.0005428881650380022,2,0.0005428881650380022,3,0.0008143322475570033,4,0.0010857763300760044,17,0.004614549402823019,1,0.0002714440825190011
98,Republican,0.9999,0.033,996,996.0,0,0.0,5,0.0050200803212851405,3,0.0030120481927710845,2,0.002008032128514056,0,0.0,0,0.0,1,0.001004016064257028,0,0.0
99,Republican,1.0,0.013,5250,5250.0,5,0.0009523809523809524,12,0.002285714285714286,1,0.00019047619047619048,28,0.005333333333333333,11,0.0020952380952380953,1,0.00019047619047619048,8,0.0015238095238095239,0,0.0
