speech_id,president,party,year,sentiment_score,negativity_score,speech_length,avg_sentence_length,kw_democracy_count,kw_democracy_freq,kw_economy_count,kw_economy_freq,kw_welfare_health_count,kw_welfare_health_freq,kw_education_count,kw_education_freq,kw_environment_count,kw_environment_freq,kw_security_defense_count,kw_security_defense_freq,kw_foreign_policy_count,kw_foreign_policy_freq,kw_immigration_count,kw_immigration_freq
57,Herbert Hoover,Republican,1930,0.9997,0.062,2084,29.35211267605634,0,0.0,3,0.0014395393474088292,2,0.0009596928982725527,0,0.0,0,0.0,20,0.009596928982725527,52,0.02495201535508637,0,0.0
58,Joe Biden,Democrat,2021,0.9998,0.072,4225,15.590405904059041,2,0.00047337278106508875,2,0.00047337278106508875,7,0.0016568047337278107,5,0.001183431952662722,1,0.00023668639053254438,48,0.01136094674556213,16,0.00378698224852071,4,0.0009467455621301775
59,John F. Kennedy,Democrat,1961,1.0,0.07,6605,29.8868778280543,6,0.0009084027252081756,121,0.018319454958364876,3,0.0004542013626040878,0,0.0,0,0.0,26,0.003936411809235428,82,0.012414837244511734,0,0.0
60,Herbert Hoover,Republican,1929,0.9994,0.024,1092,37.6551724137931,1,0.0009157509157509158,0,0.0,0,0.0,0,0.0,0,0.0,5,0.004578754578754579,33,0.03021978021978022,0,0.0
61,Barack Obama,Democrat,2010,0.9946,0.13,2609,18.37323943661972,6,0.0022997316979685703,8,0.0030663089306247606,9,0.0034495975469528554,4,0.0015331544653123803,2,0.0007665772326561902,39,0.014948256036795707,17,0.006515906477577616,1,0.0003832886163280951
62,Harry S. Truman,Democrat,1952,0.9999,0.043,1948,17.238938053097346,4,0.002053388090349076,1,0.000513347022587269,4,0.002053388090349076,6,0.003080082135523614,1,0.000513347022587269,2,0.001026694045174538,21,0.010780287474332649,0,0.0
63,Herbert Hoover,Republican,1931,0.9519,0.069,864,13.5,0,0.0,4,0.004629629629629629,0,0.0,0,0.0,1,0.0011574074074074073,2,0.0023148148148148147,14,0.016203703703703703,0,0.0
64,Andrew Johnson,Democrat,1868,-0.9233,0.08,1619,49.06060606060606,30,0.01852995676343422,0,0.0,0,0.0,3,0.0018529956763434219,0,0.0,5,0.0030883261272390363,0,0.0,0,0.0
65,Jimmy Carter,Democrat,1980,0.9995,0.072,1356,23.379310344827587,15,0.011061946902654867,3,0.0022123893805309734,0,0.0,0,0.0,0,0.0,22,0.016224188790560472,29,0.021386430678466076,1,0.0007374631268436578
66,Grover Cleveland,Democrat,1886,0.9918,0.066,360,32.72727272727273,2,0.005555555555555556,1,0.002777777777777778,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
67,Grover Cleveland,Democrat,1885,1.0,0.062,19646,34.89520426287744,45,0.0022905426040924362,30,0.0015270284027282908,28,0.0014252265092130714,4,0.00020360378703043877,24,0.0012216227221826326,69,0.003512165326275069,77,0.003919372900335946,14,0.0007126132546065357
68,Bill Clinton,Democrat,1999,0.9992,0.101,1667,20.8375,6,0.003599280143971206,2,0.0011997600479904018,3,0.001799640071985603,1,0.0005998800239952009,2,0.0011997600479904018,23,0.013797240551889621,17,0.010197960407918417,4,0.0023995200959808036
69,Theodore Roosevelt,Republican,1908,1.0,0.098,19437,30.754746835443036,62,0.003189792663476874,92,0.004733240726449555,16,0.0008231723002520966,13,0.0006688274939548284,23,0.0011833101816123887,49,0.0025209651695220457,39,0.0020064824818644853,3,0.0001543448062972681
70,Grover Cleveland,Democrat,1893,0.9995,0.061,1880,34.81481481481482,6,0.0031914893617021275,12,0.006382978723404255,3,0.0015957446808510637,1,0.0005319148936170213,1,0.0005319148936170213,3,0.0015957446808510637,0,0.0,4,0.002127659574468085
71,Rutherford B. Hayes,Republican,1880,0.9995,0.077,3560,38.69565217391305,24,0.006741573033707865,0,0.0,0,0.0,0,0.0,5,0.0014044943820224719,13,0.003651685393258427,1,0.0002808988764044944,0,0.0
72,Ronald Reagan,Republican,1983,0.9998,0.11,4306,19.572727272727274,42,0.009753831862517418,24,0.00557361820715281,6,0.0013934045517882026,0,0.0,5,0.0011611704598235022,52,0.012076172782164421,26,0.006038086391082211,2,0.00046446818392940084
73,Ronald Reagan,Republican,1983,1.0,0.076,5563,21.396153846153847,24,0.004314218946611541,97,0.017436634909221642,22,0.003954700701060579,13,0.002336868596081251,1,0.00017975912277548085,35,0.00629156929714183,34,0.006111810174366349,0,0.0
74,John F. Kennedy,Democrat,1960,0.98,0.098,1550,39.743589743589745,13,0.008387096774193548,0,0.0,2,0.0012903225806451613,4,0.0025806451612903226,0,0.0,2,0.0012903225806451613,3,0.001935483870967742,0,0.0
75,Chester A. Arthur,Republican,1882,0.9991,0.07,1678,39.95238095238095,4,0.0023837902264600714,1,0.0005959475566150178,0,0.0,0,0.0,0,0.0,7,0.004171632896305125,14,0.00834326579261025,0,0.0
76,Jimmy Carter,Democrat,1979,0.9999,0.088,3273,20.079754601226995,27,0.008249312557286892,55,0.016804155209288116,15,0.00458295142071494,1,0.00030553009471432935,2,0.0006110601894286587,33,0.01008249312557287,48,0.01466544454628781,0,0.0
77,William McKinley,Republican,1899,1.0,0.048,22589,31.81549295774648,74,0.0032759307627606357,68,0.003010314754969233,21,0.0009296560272699101,12,0.0005312320155828057,6,0.00026561600779140287,119,0.005268050821196158,111,0.004913896144140954,6,0.00026561600779140287
78,Martin Van Buren,Democrat,1841,-0.9446,0.131,859,26.03030303030303,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.004656577415599534,0,0.0,0,0.0
79,James Buchanan,Democrat,1858,0.9994,0.098,6644,32.89108910891089,115,0.017308850090307044,0,0.0,1,0.00015051173991571343,0,0.0,2,0.00030102347983142685,19,0.0028597230583985553,1,0.00015051173991571343,0,0.0
80,Grover Cleveland,Democrat,1896,0.9538,0.085,562,70.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,0.010676156583629894,2,0.0035587188612099642,0,0.0
81,Abraham Lincoln,Republican,1858,0.9997,0.085,3217,27.03361344537815,24,0.007460366801367734,4,0.0012433944668946222,6,0.0018650917003419335,0,0.0,0,0.0,0,0.0,1,0.00031084861672365556,0,0.0
82,Chester A. Arthur,Republican,1884,1.0,0.049,8754,30.186206896551724,20,0.002284669865204478,28,0.003198537811286269,3,0.0003427004797806717,2,0.0002284669865204478,1,0.0001142334932602239,33,0.0037697052775873888,52,0.005940141649531642,5,0.0005711674663011195
83,Donald Trump,Republican,2018,0.9817,0.104,702,18.473684210526315,0,0.0,0,0.0,7,0.009971509971509971,12,0.017094017094017096,0,0.0,2,0.002849002849002849,2,0.002849002849002849,0,0.0
84,Lyndon B. Johnson,Democrat,1968,0.9999,0.083,4068,21.410526315789475,6,0.0014749262536873156,14,0.00344149459193707,3,0.0007374631268436578,1,0.0002458210422812193,5,0.0012291052114060963,59,0.014503441494591937,25,0.006145526057030482,1,0.0002458210422812193
85,Grover Cleveland,Democrat,1886,0.9924,0.062,812,36.90909090909091,3,0.003694581280788177,0,0.0,2,0.0024630541871921183,0,0.0,0,0.0,1,0.0012315270935960591,0,0.0,0,0.0
86,Warren G. Harding,Republican,1920,0.9954,0.065,525,21.875,7,0.013333333333333334,0,0.0,0,0.0,0,0.0,0,0.0,14,0.02666666666666667,15,0.02857142857142857,0,0.0
87,Bill Clinton,Democrat,1994,0.9996,0.045,748,19.17948717948718,7,0.009358288770053475,1,0.001336898395721925,2,0.00267379679144385,0,0.0,0,0.0,6,0.008021390374331552,4,0.0053475935828877,0,0.0
88,Harry S. Truman,Democrat,1945,0.9989,0.126,706,20.764705882352942,5,0.007082152974504249,3,0.00424929178470255,2,0.0028328611898017,0,0.0,0,0.0,10,0.014164305949008499,8,0.0113314447592068,0,0.0
89,Harry S. Truman,Democrat,1947,0.9996,0.081,1225,18.560606060606062,36,0.029387755102040815,2,0.0016326530612244899,2,0.0016326530612244899,1,0.0008163265306122449,1,0.0008163265306122449,5,0.004081632653061225,8,0.006530612244897959,0,0.0
90,Andrew Johnson,Democrat,1866,0.9997,0.084,3879,40.40625,34,0.008765145656096932,9,0.002320185614849188,6,0.0015467904098994587,5,0.001288992008249549,6,0.0015467904098994587,35,0.009022944057746842,2,0.0005155968032998196,9,0.002320185614849188
91,Theodore Roosevelt,Republican,1902,0.9988,0.064,1200,32.432432432432435,5,0.004166666666666667,11,0.009166666666666667,1,0.0008333333333333334,0,0.0,0,0.0,4,0.0033333333333333335,5,0.004166666666666667,0,0.0
92,Lyndon B. Johnson,Democrat,1963,0.9802,0.098,705,22.741935483870968,9,0.01276595744680851,1,0.0014184397163120568,1,0.0014184397163120568,2,0.0028368794326241137,1,0.0014184397163120568,4,0.005673758865248227,5,0.0070921985815602835,0,0.0
93,Donald Trump,Republican,2021,0.9999,0.066,2807,17.32716049382716,6,0.0021375133594584966,21,0.007481296758104738,10,0.003562522265764161,1,0.0003562522265764161,4,0.0014250089063056644,11,0.003918774492340577,24,0.008550053437833986,3,0.0010687566797292483
94,Lyndon B. Johnson,Democrat,1964,0.9999,0.051,3969,17.034334763948497,14,0.003527336860670194,7,0.001763668430335097,17,0.004283194759385236,3,0.0007558578987150416,0,0.0,25,0.0062988158226253465,13,0.00327538422776518,0,0.0
95,James K. Polk,Democrat,1848,0.9818,0.068,713,44.5625,0,0.0,0,0.0,1,0.001402524544179523,0,0.0,3,0.004207573632538569,4,0.005610098176718092,0,0.0,0,0.0
96,Calvin Coolidge,Republican,1927,0.9998,0.033,1044,19.69811320754717,11,0.01053639846743295,3,0.0028735632183908046,1,0.0009578544061302681,0,0.0,2,0.0019157088122605363,2,0.0019157088122605363,1,0.0009578544061302681,1,0.0009578544061302681
97,Rutherford B. Hayes,Republican,1880,1.0,0.046,13246,32.0726392251816,44,0.0033217575117016457,38,0.002868790578287785,9,0.0006794504001207912,29,0.002189340178166994,8,0.0006039559112184811,63,0.004756152800845538,51,0.0038502189340178165,9,0.0006794504001207912
98,James Buchanan,Democrat,1857,1.0,0.075,13541,35.44764397905759,84,0.006203382320360387,18,0.0013292962115057972,6,0.00044309873716859906,2,0.0001476995790561997,9,0.0006646481057528986,57,0.004209438003101691,63,0.00465253674027029,0,0.0
99,Theodore Roosevelt,Republican,1903,0.9998,0.029,2582,35.861111111111114,2,0.000774593338497289,26,0.010069713400464756,1,0.0003872966692486445,0,0.0,1,0.0003872966692486445,6,0.0023237800154918666,14,0.005422153369481022,0,0.0
100,Barack Obama,Democrat,2012,1.0,0.079,7306,17.11007025761124,6,0.0008212428141253764,133,0.01820421571311251,21,0.0028743498494388175,43,0.005885573501231864,28,0.0038324664659184233,24,0.0032849712565015056,26,0.0035587188612099642,4,0.0005474952094169176
101,Abraham Lincoln,Republican,1864,0.9999,0.064,5791,28.111650485436893,22,0.003798998445864272,12,0.002072180970471421,4,0.0006907269901571404,0,0.0,4,0.0006907269901571404,50,0.008634087376964255,13,0.0022448627180107063,7,0.0012087722327749958
102,William McKinley,Republican,1897,1.0,0.074,12047,31.78627968337731,32,0.0026562629700340335,32,0.0026562629700340335,8,0.0006640657425085084,5,0.00041504108906781774,10,0.0008300821781356355,62,0.00514650950444094,61,0.005063501286627376,4,0.0003320328712542542
103,Lyndon B. Johnson,Democrat,1967,0.9997,0.05,4403,14.06709265175719,2,0.0004542357483533954,11,0.0024982966159436746,1,0.0002271178741766977,2,0.0004542357483533954,0,0.0,20,0.0045423574835339545,11,0.0024982966159436746,0,0.0
104,George H. W. Bush,Republican,1990,0.9999,0.034,1811,22.358024691358025,16,0.00883489784649365,5,0.0027609055770292656,2,0.0011043622308117063,0,0.0,0,0.0,0,0.0,3,0.0016565433462175593,0,0.0
105,John F. Kennedy,Democrat,1961,0.9992,0.059,1303,29.613636363636363,5,0.003837298541826554,0,0.0,1,0.0007674597083653108,1,0.0007674597083653108,0,0.0,14,0.010744435917114352,9,0.006907137375287797,0,0.0
106,Calvin Coolidge,Republican,1924,1.0,0.059,6944,24.88888888888889,21,0.0030241935483870967,66,0.009504608294930876,8,0.001152073732718894,2,0.0002880184331797235,6,0.0008640552995391706,46,0.0066244239631336405,39,0.005616359447004608,2,0.0002880184331797235
107,John F. Kennedy,Democrat,1961,0.998,0.034,611,23.5,5,0.008183306055646482,1,0.0016366612111292963,0,0.0,9,0.014729950900163666,0,0.0,2,0.0032733224222585926,1,0.0016366612111292963,0,0.0
108,Ulysses S. Grant,Republican,1870,0.9915,0.044,270,27.0,1,0.003703703703703704,0,0.0,0,0.0,0,0.0,0,0.0,2,0.007407407407407408,0,0.0,0,0.0
109,James K. Polk,Democrat,1848,-0.6188,0.085,2987,43.289855072463766,10,0.0033478406427854034,2,0.0006695681285570807,0,0.0,0,0.0,4,0.0013391362571141614,67,0.022430532306662202,16,0.005356545028456646,0,0.0
